"Rank","Equity%","Price","Zestimate","EstSpread","Beds","Baths","SqFt","PPSF","Type","Address","ZillowURL"
"29","0%","164900","165300","400","3","1","1080","153","House for sale","1601 Wynnewood Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/1601-Wynnewood-Rd-Columbia-SC-29223/11720320_zpid/"
"30","0%","239000","239300","300","3","3","1620","148","House for sale","129 Kings Parish Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/129-Kings-Parish-Ct-Columbia-SC-29209/2058807719_zpid/"
"31","0%","164900","165000","100","3","1","1045","158","House for sale","508 Rockhaven Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/508-Rockhaven-Dr-Columbia-SC-29223/11722832_zpid/"
"32","0%","190000","190100","100","3","1","1010","188","House for sale","320 Redwood Ct, Columbia, SC 29223","https://www.zillow.com/homedetails/320-Redwood-Ct-Columbia-SC-29223/11710999_zpid/"
"33","0%","245772","245900","128","4","3","2332","105","House for sale","699 Gladiolus Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/699-Gladiolus-Dr-Columbia-SC-29229/121965986_zpid/"
"34","0%","199000","199100","100","2","1","650","306","House for sale","2237 Kingswood Dr, Columbia, SC 29205","https://www.zillow.com/homedetails/2237-Kingswood-Dr-Columbia-SC-29205/11682885_zpid/"
"35","0%","275000","275100","100","4","3","2624","105","House for sale","45 Round Table Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/45-Round-Table-Ct-Columbia-SC-29209/121957928_zpid/"
"36","0%","294990","295000","10","4","3","2063","143","House for sale","192 Dunham Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/192-Dunham-Rd-Columbia-SC-29209/2059263089_zpid/"
"37","0%","270000","270000","0","4","2","2000","135","House for sale","255 Sorrel Tree Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/255-Sorrel-Tree-Dr-Columbia-SC-29223/121963602_zpid/"
"38","0%","186000","186000","0","3","2","1531","121","House for sale","3405 Padgett Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/3405-Padgett-Rd-Columbia-SC-29209/11735998_zpid/"
"39","0%","209900","209900","0","3","2","1573","133","House for sale","324 Trowbridge Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/324-Trowbridge-Rd-Columbia-SC-29229/11732791_zpid/"
