"Rank","Signal","Equity%","DaysOnMkt","Price","Zestimate","Beds","Baths","SqFt","PPSF","Type","Address","ZillowURL"
"1","EQUITY 47%","47%","1","35000","65600","2","0","672","52","House for sale","1515 Hatcher Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/1515-Hatcher-Dr-Columbia-SC-29203/11694494_zpid/"
"2","STALE 89d","n/a","89","279000","","4","3","2268","123","House for sale","466 Robins Egg Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/466-Robins-Egg-Dr-Columbia-SC-29229/88007353_zpid/"
"3","STALE 89d","-1%","89","265000","263600","3","3","1703","156","House for sale","249 Knight Valley Cir, Columbia, SC 29209","https://www.zillow.com/homedetails/249-Knight-Valley-Cir-Columbia-SC-29209/121953731_zpid/"
"4","STALE 89d","-1%","89","270000","267300","3","3","1940","139","House for sale","25 Heatherlaurel Ct, Columbia, SC 29223","https://www.zillow.com/homedetails/25-Heatherlaurel-Ct-Columbia-SC-29223/121964812_zpid/"
"5","STALE 88d","n/a","88","240000","","4","2","1982","121","House for sale","314 Leton Dr, Columbia, SC 29210","https://www.zillow.com/homedetails/314-Leton-Dr-Columbia-SC-29210/11194576_zpid/"
"6","STALE 88d","n/a","88","259000","","4","3","1906","136","House for sale","412 Bombing Range Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/412-Bombing-Range-Rd-Columbia-SC-29229/62990930_zpid/"
"7","STALE 87d","0%","87","189900","189800","3","2","1118","170","House for sale","200 Kingston Trace Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/200-Kingston-Trace-Rd-Columbia-SC-29229/62990915_zpid/"
"8","STALE 87d","0%","87","164900","164500","3","2","1254","131","House for sale","1826 Overhill Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/1826-Overhill-Rd-Columbia-SC-29223/11720346_zpid/"
"9","STALE 87d","-1%","87","249900","248300","3","2","1800","139","House for sale","217 S Shields Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/217-S-Shields-Rd-Columbia-SC-29223/11729439_zpid/"
"10","STALE 87d","-1%","87","119900","119000","2","1","883","136","House for sale","517 Johnson Ave, Columbia, SC 29203","https://www.zillow.com/homedetails/517-Johnson-Ave-Columbia-SC-29203/11677971_zpid/"
"11","STALE 87d","-1%","87","227500","225200","3","2","1338","170","House for sale","301 Squire Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/301-Squire-Rd-Columbia-SC-29223/11730437_zpid/"
"12","STALE 86d","0%","86","219000","218000","3","2","1150","190","House for sale","3652 Hoyt St, Columbia, SC 29223","https://www.zillow.com/homedetails/3652-Hoyt-St-Columbia-SC-29223/11711720_zpid/"
"13","STALE 86d","-1%","86","280000","277000","3","3","1805","155","House for sale","9194 Windsor Lake Blvd, Columbia, SC 29223","https://www.zillow.com/homedetails/9194-Windsor-Lake-Blvd-Columbia-SC-29223/67615159_zpid/"
"14","STALE 86d","-1%","86","155000","153100","2","1","725","214","House for sale","2815 Wesley Dr, Columbia, SC 29204","https://www.zillow.com/homedetails/2815-Wesley-Dr-Columbia-SC-29204/11689778_zpid/"
"15","STALE 85d","n/a","85","271000","","3","3","2161","125","House for sale","217 Branchview Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/217-Branchview-Dr-Columbia-SC-29229/55195744_zpid/"
"16","STALE 85d","n/a","85","224990","","4","3","1624","139","House for sale","1022 Sandpiper Ln, Columbia, SC 29203","https://www.zillow.com/homedetails/1022-Sandpiper-Ln-Columbia-SC-29203/11680735_zpid/"
"17","STALE 85d","-1%","85","205000","203800","2","2","1348","152","House for sale","205 Twin Oaks Ln, Columbia, SC 29209","https://www.zillow.com/homedetails/205-Twin-Oaks-Ln-Columbia-SC-29209/55194647_zpid/"
